id,country,iso3,gwno,year,geo_id,geolocation,level,adm1,adm2,adm3,location,historical,hist_country,disastertype,disasterno,latitude,longitude
280,Australia,AUS,900,1986,1205,New South Wales,1,New South Wales,NA,NA,Sydney,0,NA,storm,1986-0121,-32.16565906,147.0085368
281,Australia,AUS,900,1989,1206,New South Wales,1,New South Wales,NA,NA,Newcastle,0,NA,earthquake,1989-0142,-32.16565906,147.0085368
282,Australia,AUS,900,1990,1207,New South Wales,1,New South Wales,NA,NA,Sydney,0,NA,storm,1990-0272,-32.16565906,147.0085368
284,Australia,AUS,900,1990,1278,Queensland,1,Queensland,NA,NA,Queensland,0,NA,storm,1990-0422,-22.56759196,144.5460786
286,Australia,AUS,900,1992,1208,New South Wales,1,New South Wales,NA,NA,Sydney region,0,NA,storm,1992-0178,-32.16565906,147.0085368
287,Australia,AUS,900,1992,1351,Victoria,1,Victoria,NA,NA,Victoria,0,NA,storm,1992-0380,-36.85009222,144.3042888
288,Australia,AUS,900,1993,1209,New South Wales,1,New South Wales,NA,NA,New South Wales,0,NA,flood,1993-0214,-32.16565906,147.0085368
288,Australia,AUS,900,1993,1352,Victoria,1,Victoria,NA,NA,Victoria,0,NA,flood,1993-0214,-36.85009222,144.3042888
292,Australia,AUS,900,1994,1211,New South Wales,1,New South Wales,NA,NA,South Wales,0,NA,storm,1994-0555,-32.16565906,147.0085368
292,Australia,AUS,900,1994,1353,Victoria,1,Victoria,NA,NA,Victoria,0,NA,storm,1994-0555,-36.85009222,144.3042888
293,Australia,AUS,900,1996,1279,Queensland,1,Queensland,NA,NA,Brisbane,0,NA,flood,1996-0320,-22.56759196,144.5460786
294,Australia,AUS,900,1996,1212,New South Wales,1,New South Wales,NA,NA,Sydney,0,NA,storm,1996-0195,-32.16565906,147.0085368
295,Australia,AUS,900,1996,1213,New South Wales,1,New South Wales,NA,NA,Armidale,0,NA,storm,1996-0321,-32.16565906,147.0085368
296,Australia,AUS,900,1996,1214,New South Wales,1,New South Wales,NA,NA,Coffs Harbour,0,NA,flood,1996-0272,-32.16565906,147.0085368
297,Australia,AUS,900,1997,1280,Queensland,1,Queensland,NA,NA,Queensland State,0,NA,flood,1997-0015,-22.56759196,144.5460786
298,Australia,AUS,900,1998,1281,Queensland,1,Queensland,NA,NA,Towsville Area,0,NA,flood,1998-0011,-22.56759196,144.5460786
301,Australia,AUS,900,1998,1354,Victoria,1,Victoria,NA,NA,Victoria State,0,NA,flood,1998-0192,-36.85009222,144.3042888
303,Australia,AUS,900,1998,1215,New South Wales,1,New South Wales,NA,NA,Wollongong,0,NA,flood,1998-0261,-32.16565906,147.0085368
304,Australia,AUS,900,1999,1283,Queensland,1,Queensland,NA,NA,Queensland State,0,NA,storm,1999-0051,-22.56759196,144.5460786
306,Australia,AUS,900,1999,1216,New South Wales,1,New South Wales,NA,NA,Sydney,0,NA,storm,1999-0104,-32.16565906,147.0085368
308,Australia,AUS,900,2000,1217,New South Wales,1,New South Wales,NA,NA,New South Wales,0,NA,storm,2000-0097,-32.16565906,147.0085368
309,Australia,AUS,900,2000,1285,Queensland,1,Queensland,NA,NA,Townsville,0,NA,storm,2000-0214,-22.56759196,144.5460786
310,Australia,AUS,900,2000,1286,Queensland,1,Queensland,NA,NA,Queensland,0,NA,flood,2000-0750,-22.56759196,144.5460786
312,Australia,AUS,900,2001,1219,New South Wales,1,New South Wales,NA,NA,Sydney,0,NA,storm,2001-0030,-32.16565906,147.0085368
313,Australia,AUS,900,2001,1355,Victoria,1,Victoria,NA,NA,Illawara,0,NA,storm,2001-0045,-36.85009222,144.3042888
314,Australia,AUS,900,2001,1221,New South Wales,1,New South Wales,NA,NA,Maclean,0,NA,flood,2001-0087,-32.16565906,147.0085368
317,Australia,AUS,900,2001,1287,Queensland,1,Queensland,NA,NA,Gold coast,0,NA,storm,2001-0301,-22.56759196,144.5460786
319,Australia,AUS,900,2002,1224,New South Wales,1,New South Wales,NA,NA,New South Wales,0,NA,storm,2002-0637,-32.16565906,147.0085368
321,Australia,AUS,900,2003,1225,New South Wales,1,New South Wales,NA,NA,New South Wales,0,NA,storm,2003-0066,-32.16565906,147.0085368
322,Australia,AUS,900,2003,1356,Victoria,1,Victoria,NA,NA,Fitzroy,0,NA,flood,2003-0079,-36.85009222,144.3042888
324,Australia,AUS,900,2003,1227,New South Wales,1,New South Wales,NA,NA,Wyong,0,NA,flood,2003-0292,-32.16565906,147.0085368
324,Australia,AUS,900,2003,1357,Victoria,1,Victoria,NA,NA,Illawarra,0,NA,flood,2003-0292,-36.85009222,144.3042888
325,Australia,AUS,900,2003,1358,Victoria,1,Victoria,NA,NA,Dendifo,0,NA,storm,2003-0288,-36.85009222,144.3042888
326,Australia,AUS,900,2003,1228,New South Wales,1,New South Wales,NA,NA,Sydney region,0,NA,storm,2003-0560,-32.16565906,147.0085368
327,Australia,AUS,900,2003,1359,Victoria,1,Victoria,NA,NA,Victoria,0,NA,flood,2003-0587,-36.85009222,144.3042888
328,Australia,AUS,900,2003,1360,Victoria,1,Victoria,NA,NA,Melbourne region,0,NA,storm,2003-0615,-36.85009222,144.3042888
331,Australia,AUS,900,2004,1290,Queensland,1,Queensland,NA,NA,Queensland,0,NA,storm,2004-0674,-22.56759196,144.5460786
331,Australia,AUS,900,2004,1361,Victoria,1,Victoria,NA,NA,Victoria,0,NA,storm,2004-0674,-36.85009222,144.3042888
332,Australia,AUS,900,2004,1230,New South Wales,1,New South Wales,NA,NA,New South Wales,0,NA,storm,2004-0400,-32.16565906,147.0085368
332,Australia,AUS,900,2004,1362,Victoria,1,Victoria,NA,NA,Vicoria,0,NA,storm,2004-0400,-36.85009222,144.3042888
334,Australia,AUS,900,2004,1291,Queensland,1,Queensland,NA,NA,Brisbane region,0,NA,storm,2004-0589,-22.56759196,144.5460786
335,Australia,AUS,900,2004,1292,Queensland,1,Queensland,NA,NA,Eidsvold,0,NA,flood,2004-0662,-22.56759196,144.5460786
338,Australia,AUS,900,2005,1234,New South Wales,1,New South Wales,NA,NA,New South Wales,0,NA,storm,2005-0697,-32.16565906,147.0085368
338,Australia,AUS,900,2005,1294,Queensland,1,Queensland,NA,NA,Quuensland,0,NA,storm,2005-0697,-22.56759196,144.5460786
