disaster_no,event_name,disaster_type,disaster_subtype,location,start_year,start_month,end_year,end_month,total_deaths,no_injured,no_affected,total_affected,total_damage_adj_usd_thousands,latitude,longitude
2001-0699-AUS,,Wildfire,"Land fire (Brush, Bush, Pasture)","Sydney (Ashfield (A), Auburn (C), Bankstown (C), Botany Bay (C), Burwood (A), Canada Bay (A), Canterbury (C), Holroyd (C), Hunters Hill (A), Hurstville (C), Kogarah (C), Ku-ring-gai (A), Lane Cove (A), Leichhardt (A), Manly (A), Marrickville (A), Mosman (A), North Sydney (A), Parramatta (C), Pittwater (A), Randwick (C), Rockdale (C), Ryde (C), Strathfield (A), Sutherland Shire (A), Sydney (C), Warringah (A), Waverley (A), Willoughby (C), Woollahra (A) districts, New South Wales province), Canberra (Unincorporated ACT district, Australian Capital Territory province)",2001,12,2002,1.0,,,4400.0,4400.0,163638.0,,
2003-0066-AUS,,Storm,Storm (General),New South Wales province,2003,1,2003,1.0,1.0,,,,,,
2004-0400-AUS,,Storm,Storm (General),"Victoria, New South Wales provinces",2004,7,2004,7.0,,,600.0,600.0,,,
2004-0432-AUS,,Infestation,Locust infestation,NSW,2004,8,2004,8.0,,,,,,,
2004-0537-AUS,,Flood,Riverine flood,"Repton, Urunga villages (Bellingen district, New South Wales province), Coffs Harbour district (New South Wales province)",2004,10,2004,10.0,,,100.0,100.0,9374.0,,
2005-0014-AUS,,Wildfire,Forest fire,"Eyre peninsula (Ceduna (DC), Cleve (DC), Elliston (DC), Franklin Harbour (DC), Kimba (DC), Lower Eyre Peninsula (DC), Port Augusta (C), Port Lincoln (C), Streaky Bay (DC), Tumby Bay (DC), Whyalla (C), Wudinna (DC) districts, South Australia province)",2005,1,2005,1.0,12.0,20.0,200.0,220.0,65941.0,,
2007-0160-AUS,,Flood,Flash flood,"Gosford, Dungog, Newcastle, Wyong, Port Stephens, Maitland, Cessnock districts (New South Wales province)",2007,6,2007,6.0,9.0,,5000.0,5000.0,2018525.0,-32.87,151.38
2008-0014-AUS,,Flood,Riverine flood,"Brisbane, Southern Downs, Scenic Rim, Ipswich districts (Queensland province), Lismore, Richmond Valley, Kyogle, Tweed, Bellingen, Tenterfield, Ballina districts (New South Wales province)",2008,1,2008,1.0,1.0,,3000.0,3000.0,134577.0,-28.44,152.87
2010-0624-AUS,,Flood,Riverine flood,"Benalla, Buloke, Campaspe, Gannawarra, Greater Shepparton, Hindmarsh, Indigo, Loddon, Mildura, Moira, Swan Hill, Towong, Wangaratta, Wodonga, Yarriambiack districts (North Central Victoria province), Queensland, New South Wales provinces",2010,11,2010,12.0,,,1000.0,1000.0,,-29.83,147.38
2011-0070-AUS,"Tropical Cyclone ""Yasi""",Storm,Tropical cyclone,"Cassowary, Innisfail, Silkwood, Mission Beach, Cardwell, Tully towns (Cassowary Coast district, Queensland province), Townsville town (Townsville district, Queensland province), Ingham town (Hinchinbrook district, Queensland province)",2011,2,2011,2.0,1.0,,7300.0,7300.0,3578111.0,,
2011-0640-AUS,,Wildfire,"Land fire (Brush, Bush, Pasture)","Margaret river city (Augusta-Margaret River (S) district, Western Australia province)",2011,8,2011,8.0,,,120.0,120.0,77287.0,,
2014-0010-AUS,,Extreme temperature,Heat wave,"Western Australia, Victoria provinces",2014,1,2014,1.0,139.0,,,,,,
2015-0053-AUS,Cyclone Lam,Storm,Tropical cyclone,"Northern Territory, Western Australia provinces",2015,2,2015,2.0,,,390.0,438.0,105948.0,,
2015-0079-AUS,Cyclone 'Marcia',Storm,Tropical cyclone,"Queensland, New South Wales provinces",2015,2,2015,2.0,1.0,,,6000.0,741638.0,,
2015-0576-AUS,,Flood,Flash flood,"Queensland, New South Wales provinces",2015,4,2015,5.0,6.0,,,,543325.0,,
2016-0014-AUS,Yarloop busfires,Wildfire,"Land fire (Brush, Bush, Pasture)","Yarloop, Cookernup areas (Harvey (S) district, Western Australia province), Hamel, Waroona areas (Waroona (S) district, Western Australia province)",2016,1,2016,1.0,2.0,,,540.0,147553.0,,
2016-0201-AUS,,Storm,Blizzard/Winter storm,"New South Wales, Queensland, Tasmania provinces",2016,6,2016,6.0,5.0,,,,670694.0,,
2018-0459-AUS,,Extreme temperature,Heat wave,,2018,12,2019,1.0,,,,,,,
2020-0595-AUS,,Storm,Hail,Brisbane,2020,10,2020,10.0,,,,,1492716.0,,
2021-0058-AUS,,Wildfire,"Land fire (Brush, Bush, Pasture)",Perth region,2021,2,2021,2.0,,,,243.0,142574.0,,
2021-0807-AUS,,Flood,Flood (General),New South Wales and Queensland,2021,11,2021,12.0,2.0,,1000.0,1000.0,118811.0,,
2022-0103-AUS,,Flood,Flood (General),"Mount Glorious, Bracken Ridge, Clontarf, Cooran, Pomona, Alderley, Lower Springbrook, Brisbane, Gympie , Sunshine Coast, Gold Coast i(south-eastern Queensland); Uki, Kunghur, Rosebank, Rous River, Nimbin, Mullumbimby, Bentley, Nana Glen , Blackbutt , Sydney , Warragamba (New South Wales)",2022,2,2022,3.0,22.0,,54000.0,54000.0,7260511.0,,
2023-0129-AUS,,Flood,Flood (General),"Daguragu, Kalkarindji, Pigeon Hole and Palumpa in the Victoria Daly Region",2023,3,2023,3.0,,,700.0,700.0,,,
2021-0169-AUS,,Flood,Flood (General),"Greater Sidney, Hunter, Mid North Coast, Clearance Nambucca Regions (New South Wales); Queensland",2021,3,2021,3.0,2.0,,18000.0,18000.0,2495040.0,,
2022-0183-AUS,,Flood,Flood (General),South-east Queensland (QLD); northern New South Wales (NSW),2022,3,2022,3.0,4.0,12.0,6000.0,6012.0,,,
2024-0199-AUS,,Flood,Flash flood,Greater Sidney area (eastern New South Wales State); Queensland,2024,4,2024,4.0,,6.0,200.0,206.0,266841.0,,
2025-0047-AUS,,Wildfire,Wildfire (General),"Dimbola and Wail towns, Little Desert National Park (Shire of Hindmarshand of the Wimmera region, Victoria state)",2025,1,2025,1.0,,,260.0,260.0,,,
2002-0798-AUS,,Storm,Storm (General),"Port Stephens, Greater Taree districts (New South Wales province)",2002,12,2002,12.0,,,120.0,129.0,,,
2003-0079-AUS,,Flood,Riverine flood,"Stanwell, Gracemere, Mount Morgan villages (Rockhampton district, Queensland province), Wowan, Baralaba, Moura villages (Banana district, Queensland province), Agnes Water, Makowata villages (Gladstone district, Queensland province), Blackall Tambo district (Queensland province)",2003,2,2003,2.0,1.0,,20.0,20.0,3500.0,,
2003-0292-AUS,,Flood,Flash flood,"Gosford, Wyong, Wollongong districts (New South Wales province)",2003,5,2003,5.0,,,300.0,300.0,,,
2003-0560-AUS,Hailstorm,Storm,Hail,Sydney district (New South Wales province),2003,10,2003,10.0,,,1500.0,1500.0,,,
2003-0616-AUS,,Storm,Hail,Gladstone district (Queensland province),2003,12,2003,12.0,,,300.0,300.0,,,
2003-0587-AUS,,Flood,Flash flood,"Darebin, Manningham districts (Victoria province)",2003,12,2003,12.0,,,50.0,50.0,131256.0,,
2004-0589-AUS,,Storm,Storm (General),Brisbane district (Queensland province),2004,11,2004,11.0,2.0,,45.0,45.0,17045.0,,
2005-0068-AUS,,Storm,Storm (General),"Narrabri, Jerilderie, Wagga Wagga, Griffith, Bega Valley, Eurobodalla, Shoalhaven, Campbelltown districts (New South Wales province)",2005,1,2005,1.0,,,600.0,600.0,44510.0,,
2005-0523-AUS,,Flood,Riverine flood,"Coomera, Currumbin villages (Gold Coast district, Queensland province), Byron Bay area (Byron district, New South Wales province), Yamba area (Clarence Valley district, New South Wales province), Benora area (Tweed district, New South Wales province), Casino village (Richmond Valley district, New South Wales province), Kyogle, Lismore, Ballina districts (New South Wales province)",2005,6,2005,7.0,3.0,,3000.0,3000.0,95614.0,,
